,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
HWNID,,,,,,,,,,,,,,,,,,,,,,,,36.25,16.875,9.324999809265137
TRINZ,,,,,,,,,,,,,,,,,,,,,,,,,,23.77042579650879
TRINI,,,,,,,,,,,,,,,,,,,,,,,,,,23.91429901123047
IVAUF,,,,,,,,,,,,,,,,,,,,,,,,10.300000190734863,10.960000038146973,11.670000076293945
FBRT-PE,,,,,,,,,,,,,,,,,,,,,,,18.168630599975586,14.21651840209961,18.0830078125,19.421892166137695
FLG-PU,,,,,21.590932846069336,17.063766479492188,14.820560455322266,15.76470947265625,16.392908096313477,11.702019691467285,19.553739547729492,23.895505905151367,20.016407012939453,25.062694549560547,26.47654914855957,27.887605667114258,29.614410400390625,31.33550453186035,33.864830017089844,31.070383071899414,38.236820220947266,36.94216537475586,44.86811447143555,39.495182037353516,40.778564453125,38.09000015258789
FLG-PA,,,,,,,,,,,,,,,,,,,17.224992752075195,14.6458740234375,19.00617218017578,20.374664306640625,21.765586853027344,17.595577239990234,19.44869041442871,19.949174880981445
ARR-PC,,,,,,,,,,,,,,,,,,,,,,16.76717758178711,18.86290168762207,15.217131614685059,17.66819190979004,19.870573043823242
NPPXF,,,,,,,,,,,0.6065047383308411,0.6695848703384399,0.735445499420166,0.6073828935623169,0.7660342454910278,0.7575892806053162,1.1681783199310303,1.2589527368545532,1.4726371765136719,1.325116515159607,0.8447489738464355,0.8949650526046753,0.9838501214981079,1.0716785192489624,1.151257872581482,0.9429999589920044
OKMN,,,,,,,,,,,,,,,,,,,,,,,,,0.11990000307559967,0.05000000074505806
PGACU,,,,,,,,,,,,,,,,,,,,,,,,,,10.015000343322754
FTAIM,,,,,,,,,,,,,,,,,,,,,,,,,21.595558166503906,24.92719078063965
FTAIN,,,,,,,,,,,,,,,,,,,,,,,19.4888916015625,15.482508659362793,21.030132293701172,24.349292755126953
WSBCP,,,,,,,,,,,,,,,,,,,,,,20.40092658996582,21.868066787719727,20.770917892456055,21.274505615234375,23.976247787475586
GCGJ,,,,,,,,,,,,,,,,,,,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137
KARX,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
CUBB,,,,,,,,,,,,,,,,,,,,,17.530807495117188,19.036602020263672,20.996776580810547,16.981075286865234,17.273365020751953,18.72247314453125
RDACU,,,,,,,,,,,,,,,,,,,,,,,,,,10.1899995803833
NFTM,,,,,,,,,80.0,112.0,60.0,76.0,44.0,27.0,3.200000047683716,0.30000001192092896,0.2800000011920929,0.6000000238418579,0.10000000149011612,0.12999999523162842,0.10000000149011612,0.9900000095367432,0.009999999776482582,1.7999999523162842,1.7999999523162842,0.460999995470047
TAVIU,,,,,,,,,,,,,,,,,,,,,,,,,,10.050000190734863
